date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,Zona
2023-01-01 00:00:00,1.67,4.1,30.3,34.5,9,118,94.12,718.4,0,45,3.3,0,17.65,4.9,236.0,CENTRO
2023-01-01 00:00:00,7.46,130.4,43.2,173.5,12,522,369.16,715.7,0,,4.2,0,17.05,3.8,18.0,NORTE
2023-01-01 00:00:00,2.37,54.5,32.6,87.1,3,110,68,721.7,0,68,3.5,0,16.39,3.2,257.0,SURESTE
2023-01-01 01:00:00,1.7,5,28.9,34.1,9,97,96.79,710.7,0,47,3.4,0.001,17.12,3.4,336.0,CENTRO
2023-01-01 01:00:00,4.16,56.2,41.1,97.2,9,712,299.29,715.5,0,,4,0,15.87,4.5,15.0,NORTE
2023-01-01 01:00:00,2.12,38.7,30.3,68.9,3,116,67.18,721.5,0,72,3.4,0,15.17,3.3,278.0,SURESTE
2023-01-01 02:00:00,1.51,4.3,23.2,27.7,11,103,81.23,710.4,0,46,3.4,0.001,16.69,3.4,3.0,CENTRO
2023-01-01 02:00:00,3.19,42.4,37.9,80.2,7,586,201.58,715.1,0,,3.8,0,15.41,4.8,28.0,NORTE
2023-01-01 02:00:00,2.05,38.7,28.8,67.4,3,117,75.12,721.1,0,71,3.6,0,14.82,3.7,278.0,SURESTE
2023-01-01 03:00:00,1.3,3.8,20.9,24.9,11,83,49.83,710.1,0,48,3.2,0.001,15.99,2.6,315.0,CENTRO
2023-01-01 03:00:00,3.1,46.1,34.9,80.9,7,406,186.32,714.9,0,,3.7,0,14.58,2.8,26.0,NORTE
2023-01-01 03:00:00,2.5,60.5,29.1,89.4,3,135,82.81,720.8,0,68,3.8,0,15.51,3.6,197.0,SURESTE
2023-01-01 04:00:00,1.28,4.6,20.7,25.5,9,65,40.19,710.2,0,55,3,0.001,14.74,3.9,270.0,CENTRO
2023-01-01 04:00:00,3.2,59.2,33.5,92.7,7,340,168.5,714.9,0,,3.8,0,13.84,4.1,28.0,NORTE
2023-01-01 04:00:00,1.94,42.3,25.7,67.7,,132,59.56,720.7,0,73,3.6,0,13.81,4.9,271.0,SURESTE
2023-01-01 05:00:00,2.12,19.8,30.6,50.6,4,67,,710.2,0,61,3.1,0.001,14.53,3.4,242.0,CENTRO
2023-01-01 05:00:00,3.02,61.9,27.8,89.7,6,314,140.55,714.8,0,,3.7,0,13.34,2.6,27.0,NORTE
2023-01-01 05:00:00,1.35,10.2,23.1,33.2,,96,33.58,720.7,0,71,3,0,13.65,6.8,284.0,SURESTE
2023-01-01 06:00:00,1.54,7,23.7,30.8,7,147,108.13,710.2,0,55,3,0.001,14.55,3.4,307.0,CENTRO
2023-01-01 06:00:00,1.89,36.2,27.3,63.4,5,260,78.68,714.7,0,,3.4,0,12.48,2.5,30.0,NORTE
2023-01-01 06:00:00,1.27,7.8,22.5,30.3,4,59,34.65,720.6,0,68,3.3,0,14.04,8.4,286.0,SURESTE
2023-01-01 07:00:00,1.04,3.8,13.6,17.6,16,84,35,710.2,0,43,3.3,0.001,16.08,7.1,232.0,CENTRO
2023-01-01 07:00:00,1.65,30.9,27.1,57.9,5,159,62.02,714.8,0,,3.3,0,12.74,3.5,20.0,NORTE
2023-01-01 07:00:00,1.03,5.4,15.4,20.8,10,61,24.32,720.6,0,59,3.4,0,15.49,10,287.0,SURESTE
2023-01-01 08:00:00,0.98,3.7,12.3,16.3,19,43,13.23,710.6,0,39,3.2,0.007,16.6,6.3,222.0,CENTRO
2023-01-01 08:00:00,1.13,21.7,28.2,49.9,4,132,33.26,715.2,0,,3.3,0,13.01,2.7,27.0,NORTE
2023-01-01 08:00:00,0.88,5.1,12.4,17.4,13,47,14.34,721.2,0,51,3.2,0.006,16.59,11,283.0,SURESTE
2023-01-01 09:00:00,1.04,6.5,14.9,21.7,19,36,12.31,711,0,33,3.1,0.028,19.7,3.5,18.0,CENTRO
2023-01-01 09:00:00,1.65,30,33.4,63.3,5,88,44.97,715.7,0,,3.9,0,17.24,1.9,20.0,NORTE
2023-01-01 09:00:00,0.84,6.9,13.5,20.3,16,27,8.14,721.7,0,39,3.2,0.089,19.97,9,280.0,SURESTE
2023-01-01 10:00:00,1,6.2,12.4,18.8,25,41,13.05,711.2,0,27,3.1,0.087,22.98,4.1,294.0,CENTRO
2023-01-01 10:00:00,1.56,13.9,34.2,48.1,9,115,60.01,715.8,0,,4.4,0,21.33,3.4,22.0,NORTE
2023-01-01 10:00:00,0.89,8.5,13.1,21.5,17,21,7.81,722.1,0,37,,0.229,22.85,5.3,288.0,SURESTE
2023-01-01 11:00:00,0.92,5.2,9.5,14.9,28,44,9.3,711.1,0,21,3.3,0.457,26.13,4.5,94.0,CENTRO
2023-01-01 11:00:00,1.59,8.5,26.7,35.3,20,128,44.81,715.8,0,,5.8,0,23.18,4.7,22.0,NORTE
2023-01-01 11:00:00,0.88,7.7,12.8,20.4,24,20,7.09,722.2,0,28,3.4,0.328,27.07,4.3,271.0,SURESTE
2023-01-01 12:00:00,0.9,5,9.1,14.3,34,33,7.84,710.6,0,18,3.5,0.586,27.96,4.3,26.0,CENTRO
2023-01-01 12:00:00,1.72,5.5,18.7,24.3,37,103,27.61,715.1,0,,6.8,0,26.78,4.8,21.0,NORTE
2023-01-01 12:00:00,0.9,7.6,16.1,23.7,31,22,9.72,721.8,0,24,5.6,0.392,29.11,5.4,39.0,SURESTE
2023-01-01 13:00:00,1.01,9.1,20.9,30.2,33,41,11.74,709.9,0,17,6,0.652,29.14,5.2,58.0,CENTRO
2023-01-01 13:00:00,0.86,5.1,14.9,20.1,45,78,16.76,714.2,0,,4.2,0,29.24,6.4,25.0,NORTE
