CO,O3,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona,Hora
2.84,49.0,3.9,2.5,3.96,6.5,32.28,3.1,14.5,280.0,CENTRO,17
2.81,48.0,3.3,3.2,3.86,6.6,21.62,3.2,13.4,279.0,CENTRO,18
2.82,46.0,3.4,3.2,3.57,6.6,23.93,3.0,8.8,287.0,CENTRO,19
2.78,47.0,3.1,2.7,3.52,5.8,22.77,2.8,8.3,302.0,CENTRO,20
2.87,37.0,3.3,6.0,6.33,9.3,32.42,3.2,8.7,327.0,CENTRO,21
2.82,39.0,3.3,4.4,6.32,7.7,22.81,3.3,14.3,337.0,CENTRO,22
2.77,43.0,3.0,2.4,4.46,5.5,15.12,2.6,9.1,312.0,CENTRO,23
2.81,32.0,3.1,5.4,5.93,8.4,46.35,3.1,5.0,242.0,CENTRO,0
3.01,13.0,3.4,11.4,13.89,14.8,48.22,3.1,4.5,140.0,CENTRO,1
2.91,21.0,3.0,7.3,13.77,10.4,37.0,2.9,3.8,143.0,CENTRO,2
2.9,15.0,3.3,8.0,8.88,11.2,37.1,2.7,0.9,265.0,CENTRO,3
2.98,8.0,3.8,10.9,10.91,14.7,38.65,2.7,0.9,216.0,CENTRO,4
3.02,6.0,5.2,11.4,12.14,16.5,40.05,2.65,1.7,226.0,CENTRO,5
2.98,6.0,5.7,11.5,10.47,17.2,33.28,2.6,1.9,231.0,CENTRO,6
2.97,8.0,6.3,12.1,13.76,18.4,52.44,3.7,3.7,227.0,CENTRO,7
2.99,9.0,8.2,12.1,18.26,20.2,45.87,5.0,2.9,219.0,CENTRO,8
3.11,10.0,12.6,11.5,14.49,24.1,43.27,4.5,2.2,236.0,CENTRO,9
3.16,15.0,14.8,12.0,18.15,26.9,63.63,5.4,3.6,199.0,CENTRO,10
2.97,27.0,7.6,8.3,12.63,15.9,48.22,4.2,3.2,137.0,CENTRO,11
2.97,35.0,6.1,6.4,12.35,12.5,43.07,3.2,4.6,67.0,CENTRO,12
2.95,40.0,5.6,6.3,13.07,12.0,43.25,3.5,5.1,75.0,CENTRO,13
2.99,40.0,6.1,8.7,20.79,14.7,51.51,5.0,4.6,345.0,CENTRO,14
3.06,46.0,5.6,9.0,25.32,14.6,62.24,4.6,5.5,70.0,CENTRO,15
3.03,50.0,4.4,8.0,24.96,12.4,54.54,3.7,5.0,123.0,CENTRO,16
3.01,51.0,3.9,8.0,23.08,11.9,54.57,4.2,5.6,106.0,CENTRO,17
3.06,43.0,3.5,8.7,15.51,12.2,46.95,3.3,4.6,131.0,CENTRO,18
3.11,34.0,3.1,10.1,14.21,13.2,41.05,3.3,3.5,126.0,CENTRO,19
2.9,46.0,3.0,5.1,9.8,8.2,32.28,3.6,4.9,140.0,CENTRO,20
2.95,38.0,3.0,6.4,8.89,9.4,29.4,3.6,3.5,202.0,CENTRO,21
3.3,17.0,6.5,13.6,22.79,20.1,55.12,4.5,3.1,232.0,CENTRO,22
3.45,8.0,8.3,17.7,43.93,26.0,91.93,8.9,4.0,221.0,CENTRO,23
3.37,8.0,6.8,16.9,39.32,23.7,85.99,7.6,3.7,223.0,CENTRO,0
3.24,8.0,4.3,15.4,36.37,19.7,77.28,8.2,4.1,232.0,CENTRO,1
3.23,7.75,6.4,14.9,37.45,21.2,84.57,9.5,5.4,237.0,CENTRO,2
3.13,7.5,3.8,13.5,34.09,17.3,75.05,7.8,1.7,276.0,CENTRO,3
3.09,7.25,3.5,12.3,28.74,15.7,70.32,6.7,2.1,251.0,CENTRO,4
3.02,7.0,4.9,13.4,27.32,18.2,67.69,8.9,1.8,305.0,CENTRO,5
2.98,10.0,3.3,11.0,22.18,14.3,55.41,8.1,2.9,238.0,CENTRO,6
2.99,8.0,4.0,12.2,22.0,16.1,54.46,7.9,1.7,290.0,CENTRO,7
2.97,12.0,3.9,10.1,17.12,13.9,44.26,7.7,3.1,244.0,CENTRO,8
2.98,18.0,5.1,7.7,15.17,12.7,38.67,7.2,3.4,244.0,CENTRO,9
2.98,23.0,6.4,7.6,17.07,14.0,48.18,7.9,2.1,203.0,CENTRO,10
2.96,30.0,7.2,8.2,25.95,15.3,55.56,8.8,3.3,73.0,CENTRO,11
3.07,32.0,8.4,10.6,36.08,18.9,78.1,8.8,3.1,24.0,CENTRO,12
3.14,34.0,9.0,12.8,37.3,21.7,73.93,10.1,3.7,66.0,CENTRO,13
3.2,57.0,5.1,9.6,37.11,14.7,74.69,6.1,5.2,84.0,CENTRO,14
3.1,65.0,4.1,7.5,29.47,11.6,59.45,6.0,6.4,76.0,CENTRO,15
3.08,69.0,3.6,6.4,23.59,10.0,53.57,5.3,5.9,78.0,CENTRO,16
3.08,69.0,3.5,6.6,20.83,10.1,52.61,5.2,5.7,72.0,CENTRO,17
3.0,60.0,3.2,5.5,13.25,8.6,41.8,4.8,6.2,109.0,CENTRO,18
3.23,37.0,3.1,12.9,16.01,16.0,41.53,4.7,3.8,105.0,CENTRO,19
3.37,23.0,3.6,14.5,21.22,18.1,50.21,4.7,1.2,259.0,CENTRO,20
3.58,8.0,5.4,20.7,22.6,26.0,52.25,8.55,2.0,231.0,CENTRO,21
3.55,10.0,7.3,20.2,39.52,27.4,89.85,12.4,5.1,235.0,CENTRO,22
3.44,10.0,4.7,18.9,39.22,23.6,82.69,10.8,4.3,240.0,CENTRO,23
3.37,8.0,4.0,18.0,32.11,22.0,70.21,8.8,1.7,277.0,CENTRO,0
3.25,10.0,3.8,16.0,28.82,19.7,67.64,9.1,4.0,246.0,CENTRO,1
3.18,12.0,3.4,14.8,27.61,18.2,69.16,9.3,1.5,347.0,CENTRO,2
3.08,16.0,3.3,11.1,23.6,14.4,58.32,7.6,0.9,291.0,CENTRO,3
2.98,21.0,3.1,8.5,20.61,11.6,67.46,8.3,1.3,54.0,CENTRO,4
3.01,16.0,3.8,10.4,20.44,14.3,77.99,7.8,2.1,326.0,CENTRO,5
3.19,8.0,4.8,14.7,32.69,19.4,114.36,6.6,1.0,333.0,CENTRO,6
3.08,10.0,6.0,13.3,19.65,19.2,73.37,8.7,3.2,290.0,CENTRO,7
3.31,7.0,13.3,14.8,17.71,28.0,75.94,9.9,5.1,234.0,CENTRO,8
3.71,10.0,29.2,15.7,19.18,44.8,76.34,9.1,2.5,20.0,CENTRO,9
3.71,13.0,24.2,17.3,21.38,41.5,85.02,10.1,4.1,235.0,CENTRO,10
3.36,24.0,11.9,16.0,17.42,27.9,69.0,9.2,3.0,237.0,CENTRO,11
3.42,33.0,11.4,16.6,23.55,28.0,73.85,7.9,2.9,42.0,CENTRO,12
3.81,47.0,9.3,21.2,63.73,30.5,139.76,7.8,3.8,44.0,CENTRO,13
4.02,48.0,12.0,35.5,111.13,47.4,211.72,14.2,4.5,67.0,CENTRO,14
3.85,58.0,8.3,31.2,87.52,39.5,164.11,14.1,5.2,108.0,CENTRO,15
3.61,64.0,5.9,25.6,62.75,31.5,128.23,14.0,4.6,116.0,CENTRO,16
3.45,78.0,3.8,17.2,38.68,21.0,101.21,7.1,5.4,98.0,CENTRO,17
3.48,59.0,3.8,18.3,27.37,22.0,80.93,8.2,4.6,89.0,CENTRO,18
4.18,15.0,11.8,31.1,30.59,42.8,90.05,9.7,1.1,195.0,CENTRO,19
4.3,6.0,18.9,32.9,38.45,51.7,118.44,11.4,1.0,291.0,CENTRO,20
4.16,6.0,18.5,29.0,38.93,47.5,115.2,9.1,2.8,354.0,CENTRO,21
3.43,24.0,4.4,15.2,22.9,19.7,71.76,6.8,4.3,48.0,CENTRO,22
3.56,14.0,4.9,16.6,17.14,21.5,53.82,7.2,2.8,169.0,CENTRO,23
3.45,8.0,4.9,18.5,17.74,23.4,50.42,7.3,2.9,175.0,CENTRO,0
3.16,25.0,3.0,11.5,12.25,14.5,38.6,6.2,3.5,137.0,CENTRO,1
2.99,33.0,3.0,7.9,10.13,10.9,41.54,6.6,4.7,132.0,CENTRO,2
2.95,35.0,3.0,7.7,10.38,10.7,39.82,6.8,6.1,92.0,CENTRO,3
2.98,27.0,3.0,10.6,14.88,13.7,71.53,8.1,6.3,129.0,CENTRO,4
2.88,30.0,3.0,8.3,10.27,11.3,55.89,6.9,6.3,95.0,CENTRO,5
2.91,30.0,3.1,8.0,9.92,11.1,53.16,6.4,5.4,104.0,CENTRO,6
3.04,25.0,3.4,10.3,9.95,13.7,64.7,6.4,6.7,118.0,CENTRO,7
3.15,8.0,8.3,16.7,11.35,25.0,77.39,6.9,6.5,138.0,CENTRO,8
3.05,16.0,7.5,12.8,11.31,20.3,68.7,6.9,9.0,105.0,CENTRO,9
3.03,27.0,7.2,9.8,12.35,17.0,89.66,4.7,7.3,71.0,CENTRO,10
3.14,36.0,5.9,7.3,9.89,13.2,72.53,5.3,7.1,59.0,CENTRO,11
3.08,45.0,5.3,5.9,10.18,11.2,62.15,4.8,4.8,45.0,CENTRO,12
2.99,48.0,4.8,5.6,9.04,10.3,46.71,3.9,6.0,31.0,CENTRO,13
2.97,51.0,4.6,6.1,10.99,10.7,48.65,6.3,7.4,57.0,CENTRO,14
2.98,54.0,4.7,7.1,16.82,11.9,66.93,7.7,8.0,56.0,CENTRO,15
3.02,64.0,4.1,6.7,21.97,10.7,65.52,4.9,9.4,64.0,CENTRO,16
3.04,62.0,3.8,6.8,17.01,10.6,61.85,7.2,12.3,82.0,CENTRO,17
3.01,50.0,3.4,6.7,10.7,10.0,58.7,6.8,13.4,97.0,CENTRO,18
3.03,43.0,3.4,7.1,10.59,10.5,47.41,9.4,12.3,99.0,CENTRO,19
3.02,42.0,3.2,6.3,10.03,9.5,37.97,3.6,10.0,110.0,CENTRO,20
2.99,41.0,3.0,5.7,11.08,8.7,36.07,3.2,7.7,136.0,CENTRO,21
2.92,45.0,3.1,3.7,11.85,6.8,38.61,3.1,8.1,154.0,CENTRO,22
2.9,46.0,3.0,2.6,12.74,5.6,37.7,3.0,8.3,152.0,CENTRO,23
2.89,46.0,3.0,2.3,12.13,5.3,36.42,3.0,7.4,134.0,CENTRO,0
2.88,46.0,3.0,2.2,11.65,5.1,34.27,2.9,6.4,132.0,CENTRO,1
2.9,45.0,3.0,2.2,11.53,5.2,32.78,2.9,4.9,100.0,CENTRO,2
2.9,45.0,3.0,2.0,11.49,5.1,37.29,2.8,5.8,84.0,CENTRO,3
2.9,43.0,3.0,2.1,11.92,5.2,43.27,2.7,4.9,62.0,CENTRO,4
2.91,42.0,3.0,2.7,13.02,5.7,45.71,2.7,2.7,42.0,CENTRO,5
2.95,33.0,3.0,5.4,15.28,8.5,43.08,3.0,3.9,51.0,CENTRO,6
3.01,22.0,3.3,9.0,16.54,12.2,48.26,3.0,2.2,49.0,CENTRO,7
3.34,7.0,8.8,15.0,27.49,23.8,82.38,3.5,1.6,297.0,CENTRO,8
3.69,10.0,23.2,15.6,33.04,38.7,98.99,6.4,2.3,289.0,CENTRO,9
3.78,16.0,15.3,16.0,40.0,31.3,110.52,7.9,3.8,192.0,CENTRO,10
3.64,23.0,13.4,16.6,42.26,30.0,109.17,7.6,4.0,339.0,CENTRO,11
3.46,27.0,11.8,16.6,49.1,28.4,120.4,8.6,5.8,357.0,CENTRO,12
3.29,44.0,6.3,10.8,38.21,17.0,84.89,5.7,6.4,98.0,CENTRO,13
3.17,52.0,4.5,6.8,25.56,11.2,61.56,4.1,6.2,45.0,CENTRO,14
3.12,50.0,4.1,5.1,19.32,9.1,52.61,3.3,8.8,91.0,CENTRO,15
3.17,46.0,4.4,6.1,21.23,10.4,56.07,4.1,10.6,67.0,CENTRO,16
3.28,37.0,4.4,9.4,21.48,13.8,62.16,7.1,7.7,65.0,CENTRO,17
3.3,30.0,4.0,11.0,19.54,15.0,58.44,5.4,4.3,88.0,CENTRO,18
3.37,22.0,4.3,12.9,18.3,17.1,63.98,3.7,2.4,66.0,CENTRO,19
3.71,6.0,11.2,18.2,22.99,29.3,80.82,3.7,3.8,350.0,CENTRO,20
3.63,2.0,11.8,18.9,28.51,30.7,90.85,3.9,3.9,341.0,CENTRO,21
3.6,5.0,9.0,18.1,27.6,27.1,86.67,3.8,3.8,335.0,CENTRO,22
3.5,4.0,7.5,16.6,26.98,24.0,84.07,4.6,4.0,7.0,CENTRO,23
3.22,9.0,3.5,10.7,17.08,14.3,56.96,4.1,2.8,359.0,CENTRO,0
3.13,6.0,3.5,10.3,16.88,13.7,44.29,3.8,1.8,318.0,CENTRO,1
3.28,5.0,5.0,12.0,26.67,17.0,64.18,4.3,2.5,246.0,CENTRO,2
3.41,7.0,9.8,14.8,45.31,24.6,113.64,5.8,2.8,248.0,CENTRO,3
3.37,7.0,15.2,14.0,48.75,29.2,135.84,6.7,3.4,242.0,CENTRO,4
3.32,6.0,13.6,13.5,48.28,27.0,134.27,6.3,2.5,256.0,CENTRO,5
3.28,6.0,7.7,12.9,38.96,20.5,101.7,5.9,2.4,260.0,CENTRO,6
3.39,6.0,8.5,12.4,36.62,20.9,94.96,5.8,1.6,256.0,CENTRO,7
3.77,6.5,21.7,12.0,39.66,33.6,103.55,6.1,1.2,92.0,CENTRO,8
4.28,7.0,40.1,12.0,39.34,52.0,99.33,6.2,1.1,240.0,CENTRO,9
4.69,7.5,51.4,14.5,45.94,65.8,120.65,6.6,1.6,246.0,CENTRO,10
4.66,8.0,51.8,19.6,56.56,71.3,156.96,7.4,1.2,55.0,CENTRO,11
4.43,10.0,32.9,21.3,60.36,54.2,138.16,7.6,1.8,131.0,CENTRO,12
3.92,20.0,15.5,18.6,54.89,34.1,111.77,8.2,2.8,120.0,CENTRO,13
4.13,36.0,12.6,22.2,67.19,34.8,144.81,7.5,6.3,83.0,CENTRO,14
3.63,46.0,6.5,14.2,50.99,20.7,116.8,7.9,5.0,71.0,CENTRO,15
3.7,47.0,5.1,16.0,44.38,21.1,94.64,6.7,2.2,96.0,CENTRO,16
3.91,39.0,6.0,21.9,51.43,27.9,122.78,8.3,4.6,93.0,CENTRO,17
3.83,30.0,4.4,20.2,49.47,24.6,127.41,13.4,3.3,101.0,CENTRO,18
4.58,7.0,17.6,27.1,52.45,44.7,133.99,10.1,1.2,253.0,CENTRO,19
4.79,6.0,17.1,28.1,53.44,45.2,120.92,7.6,1.1,294.0,CENTRO,20
4.49,5.0,19.2,22.7,47.12,41.8,105.02,6.7,1.7,154.0,CENTRO,21
4.33,4.0,24.1,21.1,60.99,45.2,138.44,6.2,2.1,281.0,CENTRO,22
4.37,4.0,26.0,21.4,58.49,47.3,120.06,6.2,1.0,255.0,CENTRO,23
4.31,4.0,23.4,20.8,56.71,44.1,112.31,6.3,1.3,224.0,CENTRO,0
4.19,5.0,16.6,19.4,56.09,36.0,113.27,5.6,1.1,298.0,CENTRO,1
4.24,4.0,22.2,18.6,59.36,40.8,116.57,5.2,1.8,314.0,CENTRO,2
4.04,4.0,20.5,15.1,53.7,35.5,109.79,5.0,1.0,265.0,CENTRO,3
3.51,3.0,10.7,13.5,48.39,24.1,90.36,4.6,0.9,270.0,CENTRO,4
3.64,4.0,13.6,12.7,45.1,26.3,86.73,4.4,0.9,246.0,CENTRO,5
3.88,7.0,19.5,13.5,58.44,33.0,117.46,4.6,0.9,243.0,CENTRO,6
3.87,5.0,22.5,12.1,55.51,34.6,109.72,4.4,1.3,269.0,CENTRO,7
3.69,5.0,17.7,11.2,50.81,28.9,89.59,4.4,2.9,287.0,CENTRO,8
3.61,10.0,12.4,9.8,48.47,22.2,93.76,4.3,4.1,297.0,CENTRO,9
3.87,12.0,16.5,14.0,61.8,30.5,140.13,5.1,3.5,322.0,CENTRO,10
4.65,15.0,31.1,27.8,110.05,59.0,265.84,10.1,3.4,3.0,CENTRO,11
4.52,15.0,25.0,27.6,103.6,52.6,227.97,8.7,3.8,14.0,CENTRO,12
4.64,23.0,21.6,32.5,112.84,54.2,242.78,11.1,4.5,56.0,CENTRO,13
4.57,26.0,16.1,35.0,112.64,51.1,221.75,10.0,5.3,47.0,CENTRO,14
4.15,44.0,9.4,26.4,97.81,35.8,213.98,11.9,7.3,69.0,CENTRO,15
3.84,48.0,5.6,17.4,61.69,23.0,139.61,8.3,5.6,87.0,CENTRO,16
3.91,36.0,5.0,19.1,51.42,24.1,117.52,7.5,3.4,37.0,CENTRO,17
4.3,12.0,7.5,26.2,52.56,33.7,138.29,8.6,2.5,298.0,CENTRO,18
4.65,4.0,15.3,28.7,54.95,44.0,136.19,9.5,3.5,237.0,CENTRO,19
5.34,4.0,28.0,30.2,63.6,58.2,155.67,7.9,2.9,241.0,CENTRO,20
5.1,5.0,22.8,27.7,67.12,50.5,149.35,6.8,4.5,296.0,CENTRO,21
3.92,12.0,6.3,19.1,51.07,25.4,165.33,7.2,8.0,84.0,CENTRO,22
3.4,10.0,4.8,14.6,37.89,19.3,229.17,7.4,7.5,136.0,CENTRO,23
3.22,24.0,3.1,8.1,21.6,11.2,121.5,5.1,4.4,118.0,CENTRO,0
3.2,21.0,3.1,9.7,19.31,12.8,103.82,5.2,6.2,164.0,CENTRO,1
3.06,25.0,3.0,7.7,14.38,10.7,78.34,4.6,7.3,163.0,CENTRO,2
3.01,29.0,3.0,5.9,11.52,8.8,69.75,3.9,4.5,148.0,CENTRO,3
3.01,24.0,3.0,6.3,11.39,9.3,66.07,3.8,2.4,188.0,CENTRO,4
3.03,25.0,3.0,6.3,12.48,9.3,69.97,3.9,6.6,144.0,CENTRO,5
3.02,25.0,3.0,6.7,10.51,9.7,64.2,3.7,4.6,123.0,CENTRO,6
3.08,13.0,3.4,10.7,11.98,14.1,59.22,3.7,1.6,271.0,CENTRO,7
3.25,6.0,8.5,12.6,14.43,21.1,72.83,3.9,2.5,247.0,CENTRO,8
3.37,10.0,14.9,12.9,14.55,27.8,68.54,4.1,4.0,146.0,CENTRO,9
3.49,15.0,17.0,14.5,22.53,31.5,154.97,4.9,5.8,118.0,CENTRO,10
3.29,28.0,10.4,10.9,13.7,21.2,88.38,4.4,6.5,117.0,CENTRO,11
2.97,45.0,3.9,3.1,6.28,6.9,55.73,3.2,9.4,341.0,CENTRO,12
2.98,48.0,3.8,2.7,5.88,6.4,50.8,3.2,8.3,343.0,CENTRO,13
2.98,51.0,3.6,2.4,5.36,6.0,34.85,3.0,7.8,8.0,CENTRO,14
3.1,51.0,4.3,5.3,8.13,9.6,49.72,3.5,9.3,106.0,CENTRO,15
3.12,52.0,4.2,6.2,9.75,10.4,50.17,3.7,9.0,78.0,CENTRO,16
3.14,53.0,3.9,6.9,11.64,10.8,58.28,3.3,9.8,94.0,CENTRO,17
3.12,54.0,3.3,7.1,12.77,10.4,66.39,3.3,7.6,116.0,CENTRO,18
3.16,49.0,3.0,7.6,14.82,10.6,78.53,3.5,8.4,128.0,CENTRO,19
3.09,40.0,3.0,6.4,11.01,9.4,64.04,3.3,8.6,128.0,CENTRO,20
3.02,44.0,3.0,4.1,9.06,7.1,42.37,3.2,9.0,126.0,CENTRO,21
3.0,45.0,3.0,3.6,7.91,6.5,41.74,3.1,9.7,120.0,CENTRO,22
2.97,46.0,3.0,2.4,7.25,5.3,48.87,3.1,12.5,133.0,CENTRO,23
2.95,47.0,3.0,1.9,6.57,4.9,40.04,3.0,11.5,146.0,CENTRO,0
2.94,47.0,3.0,1.8,5.73,4.8,30.82,2.8,10.6,144.0,CENTRO,1
2.93,48.0,3.0,1.7,5.08,4.6,30.01,2.8,7.3,143.0,CENTRO,2
2.99,40.0,3.0,4.3,7.82,7.3,34.57,3.4,5.4,72.0,CENTRO,3
3.13,15.0,3.2,12.9,17.14,16.0,63.44,5.3,4.2,354.0,CENTRO,4
3.19,13.0,3.0,12.5,17.99,15.6,55.78,3.9,1.4,287.0,CENTRO,5
3.24,14.0,3.0,11.8,17.51,14.9,58.04,6.1,1.3,243.0,CENTRO,6
3.27,9.0,4.4,13.5,30.96,18.0,80.83,7.7,0.9,355.0,CENTRO,7
3.28,7.0,4.4,13.1,26.22,17.6,72.38,3.9,0.9,262.0,CENTRO,8
3.32,12.0,6.9,12.0,31.14,18.9,73.07,3.8,0.9,275.0,CENTRO,9
3.45,19.0,11.8,12.6,29.41,24.4,80.98,5.9,2.4,339.0,CENTRO,10
3.36,34.0,7.2,9.8,22.7,16.9,72.1,6.0,3.3,331.0,CENTRO,11
3.44,50.0,5.0,7.6,28.0,12.6,91.94,4.8,4.8,8.0,CENTRO,12
3.52,58.0,4.7,7.9,35.13,12.6,87.61,4.2,3.7,54.0,CENTRO,13
3.6,49.0,6.9,14.2,47.53,21.1,94.61,8.7,4.5,65.0,CENTRO,14
3.61,56.0,5.5,14.1,56.83,19.6,109.24,7.6,5.6,85.0,CENTRO,15
3.43,58.0,4.6,11.7,39.34,16.2,91.12,7.3,5.4,66.0,CENTRO,16
3.31,57.0,3.9,9.5,26.74,13.3,76.16,5.8,3.8,92.0,CENTRO,17
3.32,51.0,3.3,9.4,25.04,12.6,72.82,4.4,2.6,67.0,CENTRO,18
3.39,39.0,3.1,9.8,22.16,12.9,61.98,4.0,5.6,92.0,CENTRO,19
3.42,26.0,3.3,12.5,32.17,15.8,90.02,8.6,3.5,46.0,CENTRO,20
3.62,7.0,4.8,19.1,35.94,23.9,91.97,7.3,2.2,235.0,CENTRO,21
3.81,6.0,7.7,19.1,38.9,26.9,95.23,6.2,1.2,263.0,CENTRO,22
3.94,6.0,11.2,19.7,41.54,30.9,105.2,8.4,2.4,239.0,CENTRO,23
4.0,8.0,17.4,21.1,52.53,38.5,120.13,11.6,2.3,236.0,CENTRO,0
