CO,O3,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona,Hora
2.78,8.0,4.3,15.9,47.61,20.1,54.0,5.6,1.7,322.0,CENTRO,21
2.94,3.0,8.7,16.9,52.726,25.6,49.0,4.4,1.9,280.0,CENTRO,22
3.32,5.0,12.7,17.4,57.842,30.0,52.0,4.5,2.3,220.0,CENTRO,23
3.23,5.0,11.3,17.3,62.958,28.5,64.0,4.4,2.2,244.0,CENTRO,0
3.13,6.0,10.5,17.4,68.074,27.9,74.0,6.4,4.3,229.0,CENTRO,1
2.92,7.0,8.7,17.4,73.19,26.1,84.0,7.1,2.1,304.0,CENTRO,2
3.04,6.0,12.6,16.7,74.47999999999999,29.4,76.0,7.1,2.0,260.0,CENTRO,3
2.98,6.0,8.7,15.1,75.77,23.8,82.0,7.7,1.8,255.0,CENTRO,4
2.95,8.0,10.6,14.7,73.77499999999999,25.3,75.0,9.0,4.1,244.0,CENTRO,5
2.94,7.0,9.7,14.0,71.78,23.7,79.0,11.0,3.5,254.0,CENTRO,6
3.03,6.0,8.5,13.2,69.785,21.6,78.0,9.1,2.3,267.0,CENTRO,7
2.82,8.0,5.4,11.8,67.79,17.2,85.0,9.3,1.5,323.0,CENTRO,8
2.88,12.0,8.8,11.4,65.17,20.2,47.0,10.3,1.8,178.0,CENTRO,9
2.8,25.0,6.8,9.7,62.55,16.5,77.0,12.1,2.6,116.0,CENTRO,10
2.97,37.0,6.1,9.6,47.94,15.7,69.0,10.9,3.5,72.0,CENTRO,11
2.83,39.0,7.9,13.8,47.894,21.6,44.0,13.2,4.9,100.0,CENTRO,12
2.8400000000000003,58.5,8.299999999999999,11.65,47.848,19.85,59.5,11.1,5.3,89.5,CENTRO,13
2.85,78.0,8.7,9.5,47.802,18.1,75.0,9.0,5.7,79.0,CENTRO,14
2.68,81.0,3.5,9.5,47.756,13.0,56.0,9.4,5.9,90.0,CENTRO,15
2.63,96.0,2.7,7.1,21.97,9.8,37.0,6.0,6.7,101.0,CENTRO,16
2.6,94.0,2.7,5.6,20.11,8.3,39.0,5.2,8.3,80.0,CENTRO,17
2.54,78.0,2.5,6.2,19.44,8.8,44.0,12.4,8.3,81.0,CENTRO,18
2.61,72.0,2.5,6.9,18.34,9.3,33.0,8.7,6.7,97.0,CENTRO,19
2.6,73.0,2.4,5.7,18.425,8.1,43.0,5.6,7.3,106.0,CENTRO,20
2.64,56.0,2.6,7.8,18.445,10.3,46.0,4.9,5.6,64.0,CENTRO,21
2.61,54.0,2.4,6.9,47.434,9.3,30.0,4.4,3.7,83.0,CENTRO,22
2.73,33.0,2.5,9.7,47.388,12.2,36.0,3.7,1.5,188.0,CENTRO,23
2.81,18.0,2.4,13.4,47.342,15.7,35.0,3.3,1.6,251.0,CENTRO,0
2.9,14.0,2.8,15.2,47.296,18.0,36.0,3.4,1.9,249.0,CENTRO,1
2.92,16.0,3.0,15.0,47.25,18.0,48.0,3.8,1.9,264.0,CENTRO,2
2.99,8.0,3.4,17.7,53.625,21.0,52.0,3.8,1.6,246.0,CENTRO,3
2.88,13.0,2.6,16.6,60.0,19.2,75.0,5.9,2.6,287.0,CENTRO,4
2.72,20.0,2.7,12.0,60.21,14.6,108.0,6.9,3.6,251.0,CENTRO,5
2.7,21.0,2.4,11.7,58.59,14.0,111.0,6.3,1.8,244.0,CENTRO,6
2.8,10.0,5.1,15.4,56.44,20.5,82.0,5.8,1.6,263.0,CENTRO,7
3.61,6.0,29.9,17.2,53.61,47.1,91.0,5.1,0.9,306.0,CENTRO,8
3.8,7.0,33.4,18.6,53.81,52.0,109.0,5.8,0.9,330.0,CENTRO,9
3.64,13.0,25.9,21.3,58.67,47.2,121.0,7.4,1.5,45.0,CENTRO,10
3.35,30.0,11.3,19.7,63.29,31.0,130.0,7.7,3.6,75.0,CENTRO,11
3.5,37.0,11.3,23.3,67.56,34.6,112.0,9.4,4.8,69.0,CENTRO,12
3.42,56.0,6.3,20.4,61.74,26.7,95.0,8.8,5.8,80.0,CENTRO,13
3.24,85.0,4.4,17.0,62.18,21.4,94.0,7.2,7.2,70.0,CENTRO,14
2.92,96.0,3.2,10.1,44.41,13.3,103.0,6.2,8.7,78.0,CENTRO,15
2.73,98.0,2.8,7.5,35.75,10.3,78.0,5.4,9.9,57.0,CENTRO,16
2.71,79.0,2.8,7.5,31.02,10.3,57.0,4.3,9.8,55.0,CENTRO,17
2.74,47.0,3.0,9.2,25.73,12.2,50.0,3.4,9.6,74.0,CENTRO,18
2.88,22.0,3.2,12.5,24.58,15.7,39.0,3.1,7.7,67.0,CENTRO,19
2.95,15.0,3.4,13.3,27.67,16.7,38.0,2.9,6.1,66.0,CENTRO,20
2.61,27.0,2.4,7.4,24.7,9.8,43.0,2.7,5.1,103.0,CENTRO,21
2.62,24.0,2.7,8.0,24.43,10.7,25.0,2.7,4.4,82.0,CENTRO,22
3.15,14.0,12.6,15.3,31.925,27.9,24.0,2.9,2.5,308.0,CENTRO,23
3.2,4.0,10.4,14.6,39.42,25.0,66.0,2.9,1.5,291.0,CENTRO,0
2.99,4.0,9.1,13.6,37.69,22.7,64.0,3.0,0.9,297.0,CENTRO,1
2.75,4.0,6.4,12.1,38.47,18.5,63.0,2.8,0.9,294.0,CENTRO,2
2.69,4.0,6.1,10.9,34.32,17.0,90.0,2.7,1.8,271.0,CENTRO,3
2.87,5.0,8.0,11.8,37.51,19.9,79.0,2.7,1.6,240.0,CENTRO,4
2.91,5.0,9.6,12.6,42.7,22.2,63.0,2.8,1.2,295.0,CENTRO,5
2.85,6.0,10.8,13.1,44.12,23.9,69.0,3.0,1.4,242.0,CENTRO,6
2.98,6.0,14.7,13.6,50.37,28.4,73.0,3.4,1.2,264.0,CENTRO,7
3.46,6.0,34.6,13.2,50.87,47.8,107.0,3.5,1.1,256.0,CENTRO,8
4.05,4.0,49.3,14.6,49.93,63.9,121.0,3.7,1.1,320.0,CENTRO,9
3.52,8.0,18.0,14.1,43.24,32.0,122.0,4.5,3.4,86.0,CENTRO,10
3.78,10.0,21.6,20.0,54.39,41.5,92.0,5.6,3.6,109.0,CENTRO,11
3.76,14.0,19.8,22.4,64.39,42.2,108.0,8.9,4.0,102.0,CENTRO,12
3.16,29.0,9.7,16.8,53.35,26.6,125.0,11.9,6.5,119.0,CENTRO,13
2.79,47.0,5.5,11.7,41.93,17.1,95.0,9.6,8.8,94.0,CENTRO,14
2.73,63.0,3.9,9.9,41.03,13.8,68.0,8.3,7.0,82.0,CENTRO,15
2.62,65.0,3.3,7.7,36.6,11.0,85.0,7.2,7.5,66.0,CENTRO,16
2.57,60.0,2.8,6.4,31.33,9.2,60.0,5.4,8.5,71.0,CENTRO,17
2.6,42.0,3.0,8.0,30.08,11.0,51.0,5.1,7.8,60.0,CENTRO,18
2.58,27.0,2.8,7.3,28.02,10.1,46.0,3.7,11.9,22.0,CENTRO,19
2.55,27.0,2.8,7.1,27.42,9.8,64.0,3.1,10.0,19.0,CENTRO,20
2.51,26.0,2.5,4.8,30.43,7.2,44.0,2.9,9.5,14.0,CENTRO,21
2.43,27.0,2.4,3.9,30.17,6.3,63.0,2.4,9.5,58.0,CENTRO,22
2.53,18.0,2.5,6.2,32.32,8.7,44.0,2.7,7.5,70.0,CENTRO,23
2.56,17.0,2.4,5.4,30.87,7.7,43.0,2.5,7.6,63.0,CENTRO,0
2.46,17.0,2.4,3.8,25.89,6.2,35.0,2.3,7.4,53.0,CENTRO,1
2.51,12.0,2.7,6.0,25.34,8.7,31.0,2.5,7.2,70.0,CENTRO,2
2.54,15.0,2.4,5.0,22.01,7.4,38.0,2.7,8.8,76.0,CENTRO,3
2.58,18.0,2.3,4.3,19.87,6.5,34.0,2.5,7.3,50.0,CENTRO,4
2.42,17.0,2.3,4.4,20.18,6.7,23.0,2.3,7.5,70.0,CENTRO,5
2.45,7.0,4.1,7.5,23.14,11.6,27.0,2.4,7.9,115.0,CENTRO,6
2.47,7.0,4.6,7.3,21.4,11.9,23.0,2.7,8.4,95.0,CENTRO,7
2.63,7.0,4.9,7.7,22.42,12.5,26.0,2.3,7.8,88.0,CENTRO,8
2.69,6.0,8.1,8.4,23.05,16.4,34.0,2.6,7.5,103.0,CENTRO,9
2.67,8.0,7.55,7.8,22.791666666666668,15.299999999999999,26.0,2.4000000000000004,7.25,82.0,CENTRO,10
2.65,10.0,7.0,7.2,22.533333333333335,14.2,18.0,2.2,7.0,61.0,CENTRO,11
2.59,12.0,6.0,6.6,22.275000000000002,12.5,21.0,2.1,7.3,54.0,CENTRO,12
2.64,11.0,8.1,7.9,22.016666666666666,16.0,15.0,2.1,5.8,69.0,CENTRO,13
2.63,11.0,6.3,7.8,21.758333333333333,14.0,19.0,2.0,5.8,39.0,CENTRO,14
2.61,12.0,5.4,7.4,21.5,12.7,30.0,2.0,5.4,48.0,CENTRO,15
2.68,10.0,6.6,8.4,23.59,14.9,26.0,2.2,4.3,42.0,CENTRO,16
2.88,8.0,8.4,9.6,29.490000000000002,17.9,24.0,2.2,4.1,69.0,CENTRO,17
2.87,5.0,10.8,10.2,35.39,20.9,50.0,2.5,3.8,94.0,CENTRO,18
2.85,5.0,9.6,10.2,32.94,19.8,57.0,2.5,3.8,116.0,CENTRO,19
2.94,5.0,10.8,10.1,27.62,20.9,49.0,2.3,1.8,96.0,CENTRO,20
2.87,4.0,9.6,8.7,19.82,18.3,29.0,2.2,4.6,69.0,CENTRO,21
2.56,7.0,3.5,5.8,13.16,9.3,19.0,2.0,4.3,63.0,CENTRO,22
2.59,6.0,4.0,6.4,16.13,10.4,13.666666666666666,2.0,4.5,58.0,CENTRO,23
2.55,7.0,3.6,6.3,16.83,9.9,8.333333333333334,2.1,3.2,49.0,CENTRO,0
2.48,10.0,2.8,5.5,18.513333333333332,8.2,3.0,2.1999999999999997,2.7,46.0,CENTRO,1
2.48,5.0,6.7,8.1,20.196666666666665,14.7,10.0,2.3,2.9,39.0,CENTRO,2
2.45,11.0,2.8,5.6,21.88,8.4,27.0,2.3,3.5,82.0,CENTRO,3
2.45,10.0,2.4,5.9,22.3275,8.3,14.0,2.4,2.2,55.0,CENTRO,4
2.55,15.0,2.3,4.1,22.775,6.4,12.0,2.2,3.2,53.0,CENTRO,5
2.45,13.0,2.6,4.8,23.2225,7.4,9.0,2.1,4.3,52.0,CENTRO,6
2.54,7.0,4.1,7.2,23.67,11.3,24.0,2.1,2.9,85.0,CENTRO,7
2.68,5.0,8.5,8.2,28.09,16.7,30.0,2.2,4.8,119.0,CENTRO,8
2.92,5.0,12.6,8.4,25.76,21.1,30.0,2.5,4.4,98.0,CENTRO,9
3.06,7.0,10.6,9.4,24.82,20.0,32.0,2.3,4.4,53.0,CENTRO,10
2.7,10.0,6.6,8.5,23.49,15.0,26.0,2.2,4.9,68.0,CENTRO,11
2.93,10.0,6.0,8.1,27.13,14.1,29.0,2.1,3.6,106.0,CENTRO,12
2.76,16.0,4.9,6.7,21.81,11.6,28.0,2.2,5.7,35.0,CENTRO,13
2.76,15.0,4.9,7.2,20.41,12.1,25.0,2.3,4.8,58.0,CENTRO,14
2.63,16.0,4.3,6.5,19.01,10.7,29.0,2.2,7.3,41.0,CENTRO,15
2.65,16.0,4.1,6.1,17.11,10.2,24.0,2.2,9.1,42.0,CENTRO,16
2.64,10.0,4.9,6.9,15.06,11.7,16.0,2.3,6.0,50.0,CENTRO,17
2.54,12.0,4.0,5.5,10.45,9.5,13.0,2.1,9.7,36.0,CENTRO,18
2.52,10.0,4.4,6.3,10.05,10.8,13.0,2.0,8.5,66.0,CENTRO,19
2.54,9.0,4.7,7.4,11.53,12.1,14.0,2.2,9.6,78.0,CENTRO,20
2.52,9.0,4.1,7.1,12.45,11.2,21.0,2.2,6.6,68.0,CENTRO,21
2.42,12.0,3.0,6.0,10.73,9.1,22.0,2.1,7.3,48.0,CENTRO,22
2.41,14.0,2.7,5.7,10.116666666666667,8.3,10.0,2.1,4.8,64.0,CENTRO,23
2.38,14.0,2.8,5.4,9.503333333333334,8.1,9.0,2.2,7.1,92.0,CENTRO,0
2.33,26.0,2.2,3.5,8.89,5.6,9.0,2.0,8.0,79.0,CENTRO,1
2.36,29.0,2.2,4.0,9.65857142857143,6.3,5.0,2.1,6.5,62.0,CENTRO,2
2.34,30.0,2.1750000000000003,4.2,10.427142857142858,6.5,9.0,2.2,3.8,63.0,CENTRO,3
2.41,37.0,2.15,2.8,11.195714285714287,5.0,10.0,2.0,5.7,26.0,CENTRO,4
2.4,38.0,2.125,2.8,11.964285714285714,5.1,10.0,2.0,5.1,50.0,CENTRO,5
2.35,36.0,2.1,4.3,12.732857142857142,6.5,8.0,2.1,3.3,60.0,CENTRO,6
2.38,29.0,2.4,5.8,13.501428571428571,8.2,13.0,2.2,2.6,130.0,CENTRO,7
2.47,35.0,2.4,4.8,14.27,7.2,16.0,2.0,3.0,77.0,CENTRO,8
2.5,31.0,2.9,6.5,16.8,9.4,21.0,2.1,4.6,71.0,CENTRO,9
2.5,31.666666666666668,3.05,6.45,17.01625,9.5,22.166666666666668,2.2,4.7,62.5,CENTRO,10
2.5,32.333333333333336,3.1999999999999997,6.4,17.2325,9.6,23.333333333333332,2.3000000000000003,4.8,54.0,CENTRO,11
2.5,33.0,3.3499999999999996,6.35,17.44875,9.700000000000001,24.5,2.4,4.9,45.5,CENTRO,12
2.5,33.666666666666664,3.5,6.3,17.665,9.8,25.666666666666668,2.5,5.0,37.0,CENTRO,13
2.5,34.333333333333336,3.65,6.25,25.7,9.9,26.833333333333332,2.6,5.1000000000000005,28.499999999999996,CENTRO,14
2.5,35.0,3.8,6.2,24.59,10.0,28.0,2.7,5.2,20.0,CENTRO,15
2.56,29.0,4.8,8.9,21.97,13.7,27.0,4.2,5.4,68.0,CENTRO,16
2.59,32.0,4.1,7.6,20.11,11.7,36.0,2.3,7.6,92.0,CENTRO,17
2.57,29.0,3.2,7.3,19.44,10.4,36.0,2.2,8.6,139.0,CENTRO,18
2.57,29.0,2.8,6.6,18.34,9.3,34.0,2.1,8.9,152.0,CENTRO,19
2.51,31.0,2.7,5.7,18.425,8.4,31.0,2.1,8.8,150.0,CENTRO,20
2.46,34.0,2.4,4.6,18.445,6.9,26.0,2.1333333333333333,7.9,139.0,CENTRO,21
2.4,39.0,2.3,3.5,18.11,5.8,25.0,2.166666666666667,8.5,140.0,CENTRO,22
2.37,40.0,2.3,2.8,18.87,5.1,17.0,2.2,9.5,152.0,CENTRO,23
2.36,41.0,2.2666666666666666,2.4,18.81,4.7,15.0,2.1,8.5,125.0,CENTRO,0
2.36,39.0,2.2333333333333334,2.5,19.35,4.7,18.0,2.0,8.4,123.0,CENTRO,1
2.36,37.0,2.2,2.4,20.58,4.6,16.0,2.1,8.8,130.0,CENTRO,2
2.35,39.0,2.3,1.9,22.252,4.1,14.0,2.0,7.6,132.0,CENTRO,3
2.34,39.0,2.2,1.7,22.89,3.9,18.0,2.0,9.6,129.0,CENTRO,4
2.33,39.0,2.2,1.6,21.125,3.8,17.0,2.02,8.6,138.0,CENTRO,5
2.34,37.0,2.25,2.0,21.34125,4.2,17.0,2.04,6.7,136.0,CENTRO,6
2.36,31.0,2.3,3.3,21.557499999999997,5.6,17.0,2.06,5.5,106.0,CENTRO,7
2.5,16.0,3.0,8.2,21.77375,11.1,20.5,2.08,3.7,68.0,CENTRO,8
2.5,20.0,3.9,7.3,21.99,11.1,24.0,2.1,1.8,9.0,CENTRO,9
2.57,22.0,5.7,7.1,23.369999999999997,12.7,23.0,2.1,3.0,16.0,CENTRO,10
2.72,21.0,8.8,9.3,24.75,18.1,28.0,2.5,4.3,41.0,CENTRO,11
2.56,34.0,4.7,5.3,26.13,10.1,44.0,2.1,5.5,100.0,CENTRO,12
2.53,42.0,3.9,4.6,23.83,8.5,22.0,2.2,5.0,45.0,CENTRO,13
2.48,44.0,3.3,3.5,21.53,6.8,25.0,2.1,8.0,104.0,CENTRO,14
2.49,44.0,3.1,3.3,21.831408450704227,6.3,21.0,2.1,9.4,95.0,CENTRO,15
2.48,42.0,2.8,3.1,22.13281690140845,6.0,15.0,2.125,8.4,117.0,CENTRO,16
2.45,47.0,2.5,2.5,22.434225352112676,5.0,11.0,2.1500000000000004,9.0,136.0,CENTRO,17
2.49,46.0,2.5,3.5,22.735633802816903,6.0,14.0,2.1750000000000003,8.1,117.0,CENTRO,18
2.54,37.0,2.4,5.5,18.34,7.9,17.0,2.2,7.4,108.0,CENTRO,19
2.67,23.0,2.7,9.0,18.425,11.7,18.0,2.3,6.4,64.0,CENTRO,20
2.63,24.0,2.6,8.3,18.445,10.9,25.0,2.3,5.7,76.0,CENTRO,21
2.61,29.0,2.4,6.4,18.11,8.8,23.0,2.1,6.6,99.0,CENTRO,22
2.44,39.0,2.2,2.5,18.87,4.7,20.0,1.9,9.8,129.0,CENTRO,23
2.45,38.0,2.2,2.5,18.81,4.7,16.0,2.1,6.8,111.0,CENTRO,0
2.55,24.0,2.3,5.1,19.35,7.3,14.0,2.1,3.2,181.0,CENTRO,1
2.68,12.0,2.4,8.1,20.58,10.5,16.0,2.0,1.2,274.0,CENTRO,2
2.66,9.0,2.4,9.0,22.252,11.4,22.0,2.0,2.0,314.0,CENTRO,3
2.64,9.0,3.7,8.8,22.89,11.1,34.0,2.35,1.8,245.0,CENTRO,4
2.82,6.0,5.0,9.9,23.005000000000003,14.8,33.0,2.7,1.2,264.0,CENTRO,5
2.84,6.0,5.6,8.9,23.381666666666668,14.4,44.0,2.6,0.9,339.0,CENTRO,6
2.88,5.0,5.9,8.5,24.314999999999998,14.4,54.0,2.4,1.3,276.0,CENTRO,7
3.11,6.0,16.7,8.2,26.27,24.9,53.0,2.6,0.9,314.0,CENTRO,8
3.18,8.0,16.5,9.9,28.94,26.4,55.0,2.8,2.4,105.0,CENTRO,9
3.0,15.0,10.4,10.0,30.36,20.4,60.0,3.2,2.3,76.0,CENTRO,10
2.97,19.0,10.2,11.6,31.595,21.7,54.0,3.5,2.4,39.0,CENTRO,11
2.93,24.0,9.2,12.4,31.630000000000003,21.6,69.0,4.0,3.4,88.0,CENTRO,12
2.96,21.0,12.4,14.9,29.5,27.3,64.0,10.0,4.6,106.0,CENTRO,13
2.99,37.0,5.7,12.1,25.7,17.8,67.0,6.1,4.2,70.0,CENTRO,14
2.9,55.0,3.8,8.4,24.59,12.2,64.0,4.3,6.1,62.0,CENTRO,15
2.72,66.0,2.9,5.3,21.97,8.2,55.0,3.7,7.2,69.0,CENTRO,16
2.71,66.0,2.9,6.0,20.11,8.9,36.0,6.4,8.0,42.0,CENTRO,17
2.75,62.0,2.7,8.0,19.44,10.7,40.0,6.3,6.3,42.0,CENTRO,18
2.88,43.0,2.4,11.2,18.34,13.5,42.0,3.7,2.8,36.0,CENTRO,19
3.2,15.0,2.7,17.7,18.425,20.4,38.0,3.1,2.2,304.0,CENTRO,20
3.49,7.0,5.5,19.3,18.445,24.9,58.0,2.8,2.1,256.0,CENTRO,21
3.54,6.0,8.0,19.9,18.11,27.9,63.0,3.2,1.6,255.0,CENTRO,22
3.61,7.0,9.5,20.1,18.87,29.6,65.0,5.2,2.9,252.0,CENTRO,23
3.29,8.0,6.8,18.2,18.81,25.0,75.0,8.5,4.7,241.0,CENTRO,0
2.99,16.0,2.5,12.6,19.35,15.1,75.0,6.6,3.3,265.0,CENTRO,1
3.06,13.0,2.4,13.8,20.58,16.1,53.0,5.9,1.1,320.0,CENTRO,2
3.31,7.0,4.2,15.0,22.252,19.1,55.0,4.5,1.3,308.0,CENTRO,3
3.01,14.0,2.4,10.9,22.89,13.3,70.0,4.8,3.0,245.0,CENTRO,4
3.07,10.0,2.9,13.9,23.005000000000003,16.8,69.0,6.0,2.1,262.0,CENTRO,5
3.14,6.0,9.1,13.3,23.381666666666668,22.3,99.0,4.5,2.7,297.0,CENTRO,6
3.25,5.0,16.2,13.4,24.314999999999998,29.5,72.0,4.1,2.4,190.0,CENTRO,7
4.04,6.0,43.1,13.4,26.27,56.5,73.0,4.1,2.5,257.0,CENTRO,8
4.55,8.0,58.0,17.5,28.94,75.4,105.0,5.8,2.8,60.0,CENTRO,9
3.18,24.0,8.5,12.1,30.36,20.6,131.0,5.3,6.4,85.0,CENTRO,10
3.15,36.0,5.2,7.7,31.595,12.8,91.0,5.0,9.8,50.0,CENTRO,11
2.68,41.0,4.0,4.7,31.630000000000003,8.7,125.0,3.9,12.7,40.0,CENTRO,12
2.69,43.0,4.3,5.0,29.5,9.3,77.0,3.4,10.7,57.0,CENTRO,13
2.62,45.0,3.8,5.2,25.7,9.0,74.0,4.9,9.7,106.0,CENTRO,14
2.57,50.0,3.4,4.4,24.59,7.7,45.0,4.3,9.3,72.0,CENTRO,15
2.56,56.0,2.8,3.8,21.97,6.7,35.0,3.1,7.9,104.0,CENTRO,16
2.59,58.0,2.6,4.3,20.11,6.9,34.0,2.9,8.0,139.0,CENTRO,17
2.64,50.0,2.5,5.8,19.44,8.3,31.0,2.9,6.0,123.0,CENTRO,18
2.73,36.0,2.5,8.9,18.34,11.4,36.0,3.3,5.0,63.0,CENTRO,19
2.78,25.0,2.9,10.9,18.425,13.7,34.0,3.2,6.9,56.0,CENTRO,20
2.65,38.0,2.3,6.4,18.445,8.8,42.0,2.8,7.1,129.0,CENTRO,21
2.53,45.0,2.2,3.0,18.11,5.3,31.0,2.6,8.4,149.0,CENTRO,22
2.49,46.0,2.2,2.3,18.87,4.5,25.0,2.6,8.4,136.0,CENTRO,23
2.51,45.0,2.1,2.6,18.81,4.8,26.0,2.5,6.0,114.0,CENTRO,0
2.46,50.0,2.1,1.8,19.35,3.9,22.0,2.3,8.2,117.0,CENTRO,1
2.45,43.0,2.1333333333333333,3.6,20.58,5.8,23.0,9.2,6.4,47.0,CENTRO,2
2.47,34.0,2.166666666666667,5.5,22.252,7.7,20.0,4.4,3.9,1.0,CENTRO,3
2.5,26.0,2.2,7.2,22.89,9.4,25.0,4.1,4.6,3.0,CENTRO,4
2.56,22.0,2.1,6.3,23.005000000000003,8.5,33.0,2.8,3.0,355.0,CENTRO,5
2.63,18.0,2.2,6.6,23.381666666666668,8.8,27.0,2.4,1.1,286.0,CENTRO,6
2.75,11.0,4.1,8.9,24.314999999999998,13.0,33.0,2.5,0.9,174.0,CENTRO,7
3.56,5.0,26.7,12.0,26.27,38.7,36.0,3.0,1.3,5.0,CENTRO,8
3.47,7.0,25.5,14.1,28.94,39.5,72.0,3.7,1.2,36.0,CENTRO,9
3.28,12.0,19.2,16.0,30.36,35.1,77.0,7.5,2.6,19.0,CENTRO,10
3.47,19.0,13.5,19.2,31.595,32.7,78.0,7.3,3.4,265.0,CENTRO,11
2.72,43.0,4.7,7.1,31.630000000000003,11.7,92.0,5.2,3.5,209.0,CENTRO,12
2.55,57.0,2.9,3.2,29.5,6.1,37.0,3.7,5.2,29.0,CENTRO,13
2.75,54.0,5.0,10.6,25.7,15.6,18.0,10.0,6.4,117.0,CENTRO,14
2.69,70.0,3.3,7.3,24.59,10.6,41.0,7.3,5.6,94.0,CENTRO,15
2.59,78.0,2.7,4.9,21.97,7.5,51.0,4.5,4.3,340.0,CENTRO,16
2.61,79.0,2.6,6.3,20.11,8.9,39.0,4.8,6.1,122.0,CENTRO,17
2.59,75.0,2.5,5.7,19.44,8.2,36.0,3.5,6.4,111.0,CENTRO,18
2.74,37.0,2.9,9.6,18.34,12.5,35.0,3.6,11.2,8.0,CENTRO,19
2.69,37.0,2.5,8.3,18.425,10.8,60.0,3.2,10.0,6.0,CENTRO,20
2.6,37.0,2.5,6.8,18.445,9.3,62.0,2.7,7.6,18.0,CENTRO,21
2.58,41.0,2.2,6.9,18.11,9.2,49.0,2.8,6.8,64.0,CENTRO,22
2.53,45.0,2.3,2.7,18.87,5.0,58.0,2.2,9.8,37.0,CENTRO,23
2.54,46.0,2.2,2.2,18.81,4.4,82.0,2.9,5.9,55.0,CENTRO,0
2.49,45.0,2.1,2.2,19.35,4.4,67.0,3.3,7.9,39.0,CENTRO,1
2.39,45.0,2.2,2.0,20.58,4.2,52.0,2.4,10.3,18.0,CENTRO,2
2.42,46.0,2.1,1.7,22.252,3.8,26.0,2.3,10.4,42.0,CENTRO,3
2.41,46.0,2.1,1.5,22.89,3.6,16.0,2.2,8.0,55.0,CENTRO,4
2.42,44.0,2.1666666666666665,2.1,23.005000000000003,4.3,8.0,2.2,5.5,58.0,CENTRO,5
2.44,43.0,2.2333333333333334,2.3,23.381666666666668,4.5,10.0,2.3,4.3,27.0,CENTRO,6
2.43,41.0,2.3,3.0,24.314999999999998,5.3,10.0,2.1,9.3,30.0,CENTRO,7
2.5,35.0,2.9,5.0,26.27,7.9,18.0,2.2,12.3,36.0,CENTRO,8
2.5,32.0,3.2,4.9,28.94,8.1,55.0,2.7,13.7,26.0,CENTRO,9
2.5,32.0,3.5,4.8,30.36,8.3,145.0,2.6,11.7,20.0,CENTRO,10
2.57,33.0,3.8,4.7,31.595,8.5,159.0,2.6,9.0,14.0,CENTRO,11
2.5,37.0,3.7,3.4,31.630000000000003,7.0,106.0,2.5,7.2,29.0,CENTRO,12
2.48,41.0,3.8,3.7,29.5,7.4,79.0,3.5,5.6,170.0,CENTRO,13
2.5,45.0,3.8,3.6,25.7,7.3,55.0,3.1,6.1,103.0,CENTRO,14
2.53,48.0,3.5,3.9,24.59,7.4,50.0,3.3,6.9,325.0,CENTRO,15
2.46,49.0,3.1,2.7,21.97,5.8,56.0,2.3,9.5,30.0,CENTRO,16
2.52,48.0,3.2,3.6,20.11,6.7,40.0,2.6,7.5,56.0,CENTRO,17
2.5,43.0,3.0,4.5,19.44,7.5,38.0,2.4,9.4,50.0,CENTRO,18
2.53,39.0,2.9,5.7,18.34,8.6,31.0,2.3,10.7,32.0,CENTRO,19
2.51,31.0,2.8,8.1,18.425,10.9,25.0,2.5,8.5,45.0,CENTRO,20
2.46,36.0,2.6,5.9,18.445,8.4,24.0,2.9,9.6,32.0,CENTRO,21
2.44,38.0,2.4,5.0,18.11,7.3,17.0,3.4,8.9,54.0,CENTRO,22
2.48,40.0,2.3,4.7,18.87,7.0,22.0,4.8,6.2,50.0,CENTRO,23
2.5,37.0,2.3,5.6,18.81,7.9,28.0,3.9,6.1,12.0,CENTRO,0
2.62,40.0,2.1,4.0,19.35,6.2,21.0,2.9,4.9,17.0,CENTRO,1
2.69,41.0,2.1,3.9,20.58,6.1,14.0,2.9,4.6,25.0,CENTRO,2
2.42,41.0,2.36,3.1,22.252,5.2,14.0,2.5,3.9,93.0,CENTRO,3
2.36,44.0,2.62,1.6,22.89,3.7,11.0,2.5,4.3,120.0,CENTRO,4
2.37,45.0,2.88,1.5,23.005000000000003,3.7,10.0,2.4,5.9,122.0,CENTRO,5
2.42,36.0,3.14,3.8,23.381666666666668,5.9,11.0,2.4,4.4,136.0,CENTRO,6
2.52,21.0,3.4,9.1,24.314999999999998,12.5,17.0,2.2,2.3,152.0,CENTRO,7
2.73,15.0,5.1,12.3,26.27,17.4,14.0,2.3,3.1,121.0,CENTRO,8
2.64,32.0,4.8,7.5,28.94,12.3,31.0,2.2,7.3,112.0,CENTRO,9
2.56,40.0,4.3,5.3,30.36,9.6,22.0,2.3,7.4,98.0,CENTRO,10
2.69,36.0,6.6,7.9,31.595,14.5,26.0,3.1,8.9,66.0,CENTRO,11
2.54,47.0,4.1,4.8,31.630000000000003,8.9,46.0,4.8,6.9,49.0,CENTRO,12
2.52,51.0,3.8,4.6,29.5,8.3,33.0,4.8,6.7,54.0,CENTRO,13
2.63,54.0,3.8,5.1,25.7,8.9,26.0,4.9,7.0,84.0,CENTRO,14
2.55,60.0,3.1,4.0,24.59,7.0,37.0,3.0,7.8,72.0,CENTRO,15
