parameter,date,SE,SE_b,NE,NE_b,CE,CE_b,NO,NO_b,SO,SO_b,NO2,NO2_b,Norte,NTE_b,NE2,NE2_b,SE2,SE2_b,SO2,SO2_b,SE3,SE3_b,SUR,SUR_b,Norte2,NTE2_b,NE3,NE3_b
PM10 ,2020-01-01 00:00:00.000,66.0,x,110.0,x,86.34,x,88.0,x,63.0,x,92.0,x,52.0,x,94.0,x,,l,,x,37.0,l,,l,69.0,l,,x
PM10 ,2020-01-01 01:00:00.000,57.0, ,75.0, ,112.01, ,77.0, ,,x,54.0, ,53.0, ,19.0, ,,l,42.0, ,37.0, ,20.0, ,49.0, ,, 
PM10 ,2020-01-01 02:00:00.000,68.0, ,76.0, ,100.01, ,107.0, ,58.0, ,84.0, ,59.0, ,17.0, ,41.0, ,43.0, ,55.0, ,24.0, ,53.0, ,, 
PM10 ,2020-01-01 03:00:00.000,68.0, ,46.0, ,106.2, ,84.0, ,57.0, ,,o,60.0, ,25.0, ,30.0, ,47.0, ,35.0, ,39.0, ,51.0, ,, 
PM10 ,2020-01-01 04:00:00.000,48.0, ,63.0, ,141.86, ,70.0, ,46.0, ,52.0, ,59.0, ,14.0, ,25.0, ,50.0, ,27.0, ,23.0, ,50.0, ,, 
PM10 ,2020-01-01 05:00:00.000,42.0, ,49.0, ,122.24, ,67.0, ,46.0, ,50.0, ,48.0, ,10.0, ,23.0, ,53.0, ,25.0, ,16.0, ,46.0, ,, 
PM10 ,2020-01-01 06:00:00.000,38.0, ,33.0, ,113.71, ,65.0, ,55.0, ,59.0, ,60.0, ,9.0, ,18.0, ,54.0, ,21.0, ,18.0, ,46.0, ,, 
PM10 ,2020-01-01 07:00:00.000,33.0, ,20.0, ,107.02, ,57.0, ,52.0, ,63.0, ,76.0, ,14.0, ,13.0, ,55.0, ,19.0, ,18.0, ,56.0, ,, 
PM10 ,2020-01-01 08:00:00.000,36.0, ,13.0, ,102.32, ,55.0, ,56.0, ,,o,72.0, ,11.0, ,13.0, ,50.0, ,19.0, ,15.0, ,65.0, ,, 
PM10 ,2020-01-01 09:00:00.000,21.0, ,15.0, ,98.27, ,55.0, ,53.0, ,58.0, ,66.0, ,12.0, ,9.0, ,57.0, ,19.0, ,18.0, ,58.0, ,, 
PM10 ,2020-01-01 10:00:00.000,35.0, ,33.0, ,79.95, ,48.0, ,53.0, ,51.0, ,73.0, ,18.0, ,8.0, ,52.0, ,18.0, ,19.0, ,67.0, ,, 
PM10 ,2020-01-01 11:00:00.000,37.0, ,53.0, ,61.68, ,51.0, ,60.0, ,46.0, ,86.0, ,31.0, ,29.0, ,50.0, ,20.0, ,18.0, ,64.0, ,, 
PM10 ,2020-01-01 12:00:00.000,31.0, ,53.0, ,59.14, ,61.0, ,56.0, ,36.0, ,,o,54.0, ,25.0, ,52.0, ,36.0, ,19.0, ,54.0, ,, 
PM10 ,2020-01-01 13:00:00.000,28.0, ,63.0, ,51.42, ,63.0, ,45.0, ,46.0, ,102.0, ,52.0, ,65.0, ,35.0, ,45.0, ,18.0, ,62.0, ,, 
PM10 ,2020-01-01 14:00:00.000,26.0, ,62.0, ,31.58, ,42.0, ,40.0, ,24.0, ,14.0, ,64.0, ,66.0, ,29.0, ,56.0, ,18.0, ,52.0, ,, 
PM10 ,2020-01-01 15:00:00.000,21.0, ,55.0, ,25.22, ,24.0, ,27.0, ,11.0, ,8.0, ,36.0, ,46.0, ,23.0, ,63.0, ,16.0, ,15.0, ,, 
PM10 ,2020-01-01 16:00:00.000,15.0, ,52.0, ,23.66, ,19.0, ,22.0, ,8.0, ,9.0, ,23.0, ,29.0, ,9.0, ,57.0, ,12.0, ,13.0, ,, 
PM10 ,2020-01-01 17:00:00.000,10.0, ,35.0, ,14.24, ,16.0, ,16.0, ,7.0, ,8.0, ,14.0, ,13.0, ,10.0, ,50.0, ,13.0, ,16.0, ,, 
PM10 ,2020-01-01 18:00:00.000,9.0, ,32.0, ,12.15, ,14.0, ,12.0, ,9.0, ,4.0, ,20.0, ,13.0, ,7.0, ,35.0, ,14.0, ,9.0, ,, 
PM10 ,2020-01-01 19:00:00.000,14.0, ,29.0, ,26.13, ,16.0, ,12.0, ,12.0, ,,x,19.0, ,24.0, ,5.0, ,29.0, ,11.0, ,8.0, ,, 
PM10 ,2020-01-01 20:00:00.000,9.0, ,23.0, ,18.81, ,17.0, ,12.0, ,10.0, ,,x,15.0, ,31.0, ,8.0, ,33.0, ,8.0, ,8.0, ,, 
PM10 ,2020-01-01 21:00:00.000,10.0, ,42.0, ,23.64, ,17.0, ,15.0, ,7.0, ,,l,14.0, ,19.0, ,7.0, ,,l,13.0, ,12.0, ,, 
PM10 ,2020-01-01 22:00:00.000,10.0, ,38.0, ,17.48, ,,x,16.0, ,5.0, ,,l,17.0, ,38.0, ,4.0, ,29.0, ,14.0, ,10.0, ,, 
PM10 ,2020-01-01 23:00:00.000,9.0, ,24.0, ,27.1, ,11.0, ,15.0, ,5.0, ,,a,23.0, ,18.0, ,3.0, ,,l,14.0, ,8.0, ,, 
PM10 ,2020-01-02 00:00:00.000,10.0, ,18.0, ,17.8, ,9.0, ,11.0, ,5.0, ,3.0, ,26.0, ,17.0, ,3.0, ,27.0, ,15.0, ,5.0, ,, 
PM10 ,2020-01-02 01:00:00.000,7.0, ,14.0, ,21.57, ,9.0, ,6.0, ,5.0, ,6.0, ,21.0, ,21.0, ,2.0, ,22.0, ,13.0, ,7.0, ,, 
PM10 ,2020-01-02 02:00:00.000,3.0, ,12.0, ,30.53, ,9.0, ,3.0, ,4.0, ,5.0, ,21.0, ,6.0, ,2.0, ,18.0, ,11.0, ,5.0, ,, 
PM10 ,2020-01-02 03:00:00.000,9.0, ,8.0, ,31.43, ,10.0, ,4.0, ,,l,,x,15.0, ,24.0, ,,a,18.0, ,9.0, ,8.0, ,, 
PM10 ,2020-01-02 04:00:00.000,10.0, ,6.0, ,25.71, ,10.0, ,6.0, ,,l,10.0, ,13.0, ,26.0, ,3.0, ,17.0, ,10.0, ,5.0, ,, 
PM10 ,2020-01-02 05:00:00.000,12.0, ,3.0, ,27.33, ,9.0, ,9.0, ,,x,16.0, ,8.0, ,7.0, ,4.0, ,17.0, ,14.0, ,4.0, ,, 
PM10 ,2020-01-02 06:00:00.000,15.0, ,6.0, ,31.54, ,9.0, ,13.0, ,3.0, ,6.0, ,9.0, ,8.0, ,4.0, ,27.0, ,17.0, ,3.0, ,, 
PM10 ,2020-01-02 07:00:00.000,17.0, ,9.0, ,32.44, ,16.0, ,12.0, ,3.0, ,6.0, ,7.0, ,7.0, ,9.0, ,24.0, ,14.0, ,20.0, ,, 
PM10 ,2020-01-02 08:00:00.000,20.0, ,11.0, ,,a,18.0, ,10.0, ,2.0, ,7.0, ,19.0, ,6.0, ,9.0, ,22.0, ,9.0, ,35.0, ,, 
PM10 ,2020-01-02 09:00:00.000,16.0, ,19.0, ,27.52, ,17.0, ,14.0, ,3.0, ,7.0, ,21.0, ,20.0, ,5.0, ,24.0, ,11.0, ,34.0, ,, 
PM10 ,2020-01-02 10:00:00.000,23.0, ,39.0, ,30.65, ,15.0, ,13.0, ,7.0, ,22.0, ,56.0, ,29.0, ,4.0, ,25.0, ,13.0, ,20.0, ,, 
PM10 ,2020-01-02 11:00:00.000,19.0, ,57.0, ,38.82, ,22.0, ,15.0, ,16.0, ,33.0, ,62.0, ,27.0, ,9.0, ,32.0, ,20.0, ,42.0, ,, 
PM10 ,2020-01-02 12:00:00.000,24.0, ,53.0, ,36.36, ,37.0, ,16.0, ,26.0, ,42.0, ,72.0, ,21.0, ,14.0, ,33.0, ,20.0, ,39.0, ,, 
PM10 ,2020-01-02 13:00:00.000,21.0, ,39.0, ,23.08, ,40.0, ,12.0, ,29.0, ,48.0, ,54.0, ,27.0, ,11.0, ,33.0, ,18.0, ,53.0, ,, 
PM10 ,2020-01-02 14:00:00.000,21.0, ,32.0, ,31.28, ,,o,34.0, ,28.0, ,38.0, ,47.0, ,32.0, ,12.0, ,34.0, ,20.0, ,49.0, ,, 
PM10 ,2020-01-02 15:00:00.000,21.0, ,31.0, ,42.78, ,,o,29.0, ,33.0, ,29.0, ,68.0, ,31.0, ,17.0, ,34.0, ,18.0, ,47.0, ,, 
PM10 ,2020-01-02 16:00:00.000,18.0, ,30.0, ,46.21, ,,o,39.0, ,38.0, ,28.0, ,45.0, ,25.0, ,39.0, ,26.0, ,23.0, ,31.0, ,, 
PM10 ,2020-01-02 17:00:00.000,34.0, ,40.0, ,44.68, ,,o,59.0, ,36.0, ,28.0, ,102.0, ,20.0, ,40.0, ,31.0, ,32.0, ,33.0, ,, 
PM10 ,2020-01-02 18:00:00.000,37.0, ,43.0, ,47.64, ,,x,28.0, ,37.0, ,28.0, ,72.0, ,23.0, ,31.0, ,23.0, ,30.0, ,35.0, ,, 
PM10 ,2020-01-02 19:00:00.000,41.0, ,52.0, ,69.75, ,62.0, ,30.0, ,30.0, ,35.0, ,60.0, ,41.0, ,25.0, ,59.0, ,33.0, ,54.0, ,, 
PM10 ,2020-01-02 20:00:00.000,43.0, ,79.0, ,60.56, ,64.0, ,57.0, ,34.0, ,47.0, ,134.0, ,90.0, ,34.0, ,177.0, ,30.0, ,82.0, ,, 
PM10 ,2020-01-02 21:00:00.000,53.0, ,79.0, ,49.39, ,82.0, ,55.0, ,38.0, ,77.0, ,204.0, ,52.0, ,45.0, ,167.0, ,40.0, ,96.0, ,, 
PM10 ,2020-01-02 22:00:00.000,50.0, ,114.0, ,37.84, ,91.0, ,66.0, ,51.0, ,70.0, ,182.0, ,82.0, ,56.0, ,97.0, ,32.0, ,69.0, ,, 
PM10 ,2020-01-02 23:00:00.000,35.0, ,104.0, ,65.8, ,155.0, ,112.0, ,56.0, ,113.0, ,137.0, ,140.0, ,59.0, ,92.0, ,22.0, ,85.0, ,, 
PM10 ,2020-01-03 00:00:00.000,37.0, ,133.0, ,57.49, ,186.0, ,147.0, ,84.0, ,67.0, ,117.0, ,141.0, ,41.0, ,110.0, ,27.0, ,131.0, ,, 
PM10 ,2020-01-03 01:00:00.000,32.0, ,154.0, ,66.11, ,165.0, ,104.0, ,54.0, ,51.0, ,169.0, ,134.0, ,37.0, ,142.0, ,22.0, ,83.0, ,, 
PM10 ,2020-01-03 02:00:00.000,42.0, ,94.0, ,75.53, ,84.0, ,60.0, ,26.0, ,75.0, ,57.0, ,87.0, ,30.0, ,121.0, ,22.0, ,97.0, ,, 
PM10 ,2020-01-03 03:00:00.000,59.0, ,44.0, ,48.84, ,31.0, ,26.0, ,8.0, ,63.0, ,26.0, ,31.0, ,29.0, ,49.0, ,20.0, ,79.0, ,, 
PM10 ,2020-01-03 04:00:00.000,57.0, ,29.0, ,51.72, ,20.0, ,18.0, ,5.0, ,18.0, ,23.0, ,30.0, ,12.0, ,26.0, ,26.0, ,24.0, ,, 
PM10 ,2020-01-03 05:00:00.000,46.0, ,23.0, ,41.85, ,19.0, ,13.0, ,6.0, ,10.0, ,17.0, ,43.0, ,11.0, ,61.0, ,28.0, ,20.0, ,, 
PM10 ,2020-01-03 06:00:00.000,22.0, ,23.0, ,37.2, ,23.0, ,14.0, ,8.0, ,11.0, ,19.0, ,54.0, ,10.0, ,85.0, ,26.0, ,13.0, ,, 
PM10 ,2020-01-03 07:00:00.000,21.0, ,15.0, ,37.43, ,31.0, ,15.0, ,19.0, ,14.0, ,27.0, ,71.0, ,11.0, ,76.0, ,23.0, ,13.0, ,, 
PM10 ,2020-01-03 08:00:00.000,31.0, ,57.0, ,39.62, ,37.0, ,14.0, ,17.0, ,12.0, ,34.0, ,73.0, ,18.0, ,77.0, ,19.0, ,11.0, ,, 
PM10 ,2020-01-03 09:00:00.000,48.0, ,30.0, ,27.23, ,41.0, ,14.0, ,15.0, ,18.0, ,50.0, ,82.0, ,38.0, ,104.0, ,27.0, ,26.0, ,, 
PM10 ,2020-01-03 10:00:00.000,63.0, ,17.0, ,29.3, ,40.0, ,17.0, ,20.0, ,31.0, ,53.0, ,75.0, ,55.0, ,76.0, ,34.0, ,22.0, ,, 
PM10 ,2020-01-03 11:00:00.000,77.0, ,42.0, ,32.31, ,47.0, ,58.0, ,37.0, ,51.0, ,46.0, ,39.0, ,77.0, ,38.0, ,36.0, ,46.0, ,, 
PM10 ,2020-01-03 12:00:00.000,99.0, ,35.0, ,38.83, ,47.0, ,71.0, ,32.0, ,60.0, ,48.0, ,46.0, ,79.0, ,60.0, ,56.0, ,45.0, ,, 
PM10 ,2020-01-03 13:00:00.000,96.0, ,31.0, ,44.25, ,45.0, ,49.0, ,32.0, ,58.0, ,3.0, ,49.0, ,71.0, ,71.0, ,50.0, ,58.0, ,, 
PM10 ,2020-01-03 14:00:00.000,,x,48.0, ,38.15, ,,n,53.0, ,39.0, ,69.0, ,,a,59.0, ,49.0, ,75.0, ,30.0, ,45.0, ,,a
PM10 ,2020-01-03 15:00:00.000,36.0, ,47.0, ,43.85, ,,n,73.0, ,40.0, ,59.0, ,,o,48.0, ,58.0, ,81.0, ,28.0, ,62.0, ,,o
PM10 ,2020-01-03 16:00:00.000,66.0, ,34.0, ,29.89, ,,n,39.0, ,28.0, ,49.0, ,128.0, ,43.0, ,41.0, ,62.0, ,25.0, ,57.0, ,, 
PM10 ,2020-01-03 17:00:00.000,44.0, ,17.0, ,32.28, ,,n,23.0, ,28.0, ,43.0, ,34.0, ,26.0, ,32.0, ,53.0, ,24.0, ,39.0, ,, 
PM10 ,2020-01-03 18:00:00.000,20.0, ,15.0, ,21.62, ,,n,19.0, ,23.0, ,32.0, ,26.0, ,29.0, ,10.0, ,38.0, ,21.0, ,22.0, ,, 
PM10 ,2020-01-03 19:00:00.000,28.0, ,15.0, ,23.93, ,10.0, ,16.0, ,22.0, ,20.0, ,36.0, ,30.0, ,14.0, ,35.0, ,19.0, ,23.0, ,, 
PM10 ,2020-01-03 20:00:00.000,23.0, ,12.0, ,22.77, ,,x,27.0, ,22.0, ,14.0, ,39.0, ,19.0, ,21.0, ,51.0, ,18.0, ,29.0, ,, 
PM10 ,2020-01-03 21:00:00.000,48.0, ,25.0, ,32.42, ,,x,22.0, ,18.0, ,30.0, ,31.0, ,57.0, ,12.0, ,34.0, ,18.0, ,14.0, ,, 
PM10 ,2020-01-03 22:00:00.000,97.0, ,30.0, ,22.81, ,30.0, ,18.0, ,20.0, ,18.0, ,38.0, ,25.0, ,21.0, ,30.0, ,26.0, ,20.0, ,, 
PM10 ,2020-01-03 23:00:00.000,44.0, ,32.0, ,15.12, ,25.0, ,15.0, ,13.0, ,38.0, ,34.0, ,41.0, ,74.0, ,20.0, ,26.0, ,29.0, ,, 
PM10 ,2020-01-04 00:00:00.000,33.0, ,18.0, ,46.35, ,22.0, ,16.0, ,9.0, ,,l,21.0, ,19.0, ,47.0, ,27.0, ,30.0, ,37.0, ,, 
PM10 ,2020-01-04 01:00:00.000,37.0, ,24.0, ,48.22, ,20.0, ,18.0, ,10.0, ,24.0, ,35.0, ,41.0, ,32.0, ,39.0, ,28.0, ,35.0, ,, 
PM10 ,2020-01-04 02:00:00.000,26.0, ,36.0, ,37.0, ,23.0, ,34.0, ,10.0, ,14.0, ,27.0, ,31.0, ,48.0, ,46.0, ,28.0, ,37.0, ,, 
PM10 ,2020-01-04 03:00:00.000,25.0, ,36.0, ,37.1, ,39.0, ,14.0, ,9.0, ,21.0, ,28.0, ,26.0, ,57.0, ,44.0, ,23.0, ,42.0, ,, 
PM10 ,2020-01-04 04:00:00.000,25.0, ,30.0, ,38.65, ,47.0, ,13.0, ,7.0, ,31.0, ,42.0, ,42.0, ,18.0, ,35.0, ,19.0, ,39.0, ,, 
PM10 ,2020-01-04 05:00:00.000,21.0, ,26.0, ,40.05, ,40.0, ,21.0, ,7.0, ,17.0, ,20.0, ,23.0, ,18.0, ,77.0, ,23.0, ,34.0, ,, 
PM10 ,2020-01-04 06:00:00.000,23.0, ,28.0, ,33.28, ,37.0, ,24.0, ,10.0, ,23.0, ,14.0, ,43.0, ,20.0, ,53.0, ,22.0, ,53.0, ,, 
PM10 ,2020-01-04 07:00:00.000,19.0, ,38.0, ,52.44, ,62.0, ,,x,19.0, ,56.0, ,25.0, ,65.0, ,16.0, ,52.0, ,20.0, ,72.0, ,, 
PM10 ,2020-01-04 08:00:00.000,23.0, ,52.0, ,45.87, ,86.0, ,10.0, ,37.0, ,32.0, ,74.0, ,62.0, ,18.0, ,67.0, ,20.0, ,41.0, ,, 
PM10 ,2020-01-04 09:00:00.000,27.0, ,49.0, ,43.27, ,89.0, ,,o,70.0, ,78.0, ,72.0, ,84.0, ,25.0, ,113.0, ,20.0, ,67.0, ,, 
PM10 ,2020-01-04 10:00:00.000,34.0, ,67.0, ,63.63, ,83.0, ,137.0, ,74.0, ,90.0, ,117.0, ,120.0, ,25.0, ,128.0, ,37.0, ,92.0, ,, 
PM10 ,2020-01-04 11:00:00.000,32.0, ,49.0, ,48.22, ,63.0, ,101.0, ,87.0, ,68.0, ,116.0, ,75.0, ,25.0, ,93.0, ,25.0, ,76.0, ,, 
PM10 ,2020-01-04 12:00:00.000,26.0, ,41.0, ,43.07, ,49.0, ,28.0, ,47.0, ,81.0, ,80.0, ,37.0, ,21.0, ,41.0, ,23.0, ,56.0, ,, 
PM10 ,2020-01-04 13:00:00.000,35.0, ,37.0, ,43.25, ,,x,40.0, ,20.0, ,44.0, ,37.0, ,32.0, ,20.0, ,35.0, ,26.0, ,42.0, ,, 
PM10 ,2020-01-04 14:00:00.000,40.0, ,44.0, ,51.51, ,,o,53.0, ,12.0, ,49.0, ,40.0, ,28.0, ,25.0, ,34.0, ,23.0, ,47.0, ,, 
PM10 ,2020-01-04 15:00:00.000,37.0, ,45.0, ,62.24, ,,o,42.0, ,16.0, ,52.0, ,56.0, ,23.0, ,23.0, ,39.0, ,19.0, ,41.0, ,, 
PM10 ,2020-01-04 16:00:00.000,32.0, ,47.0, ,54.54, ,,n,44.0, ,32.0, ,61.0, ,63.0, ,40.0, ,25.0, ,37.0, ,23.0, ,47.0, ,, 
PM10 ,2020-01-04 17:00:00.000,27.0, ,48.0, ,54.57, ,,n,42.0, ,31.0, ,46.0, ,55.0, ,26.0, ,27.0, ,31.0, ,22.0, ,42.0, ,, 
PM10 ,2020-01-04 18:00:00.000,38.0, ,65.0, ,46.95, ,,n,39.0, ,,o,39.0, ,63.0, ,30.0, ,26.0, ,30.0, ,21.0, ,35.0, ,, 
PM10 ,2020-01-04 19:00:00.000,30.0, ,50.0, ,41.05, ,,n,40.0, ,67.0, ,43.0, ,67.0, ,38.0, ,21.0, ,48.0, ,32.0, ,43.0, ,, 
PM10 ,2020-01-04 20:00:00.000,38.0, ,51.0, ,32.28, ,,n,54.0, ,66.0, ,43.0, ,72.0, ,77.0, ,41.0, ,87.0, ,27.0, ,36.0, ,, 
PM10 ,2020-01-04 21:00:00.000,34.0, ,64.0, ,29.4, ,,n,87.0, ,69.0, ,65.0, ,68.0, ,69.0, ,55.0, ,79.0, ,43.0, ,34.0, ,, 
PM10 ,2020-01-04 22:00:00.000,35.0, ,65.0, ,55.12, ,,n,137.0, ,75.0, ,71.0, ,74.0, ,50.0, ,56.0, ,68.0, ,24.0, ,39.0, ,, 
PM10 ,2020-01-04 23:00:00.000,45.0, ,51.0, ,91.93, ,,n,140.0, ,73.0, ,94.0, ,103.0, ,62.0, ,53.0, ,128.0, ,44.0, ,44.0, ,, 
PM10 ,2020-01-05 00:00:00.000,47.0, ,74.0, ,85.99, ,,o,140.0, ,121.0, ,60.0, ,87.0, ,110.0, ,66.0, ,174.0, ,30.0, ,31.0, ,, 
PM10 ,2020-01-05 01:00:00.000,54.0, ,91.0, ,77.28, ,,o,136.0, ,122.0, ,57.0, ,88.0, ,133.0, ,43.0, ,96.0, ,19.0, ,81.0, ,, 
PM10 ,2020-01-05 02:00:00.000,47.0, ,116.0, ,84.57, ,,o,98.0, ,87.0, ,76.0, ,76.0, ,82.0, ,43.0, ,47.0, ,27.0, ,120.0, ,, 
PM10 ,2020-01-05 03:00:00.000,36.0, ,116.0, ,75.05, ,,x,79.0, ,56.0, ,76.0, ,70.0, ,24.0, ,43.0, ,45.0, ,21.0, ,156.0, ,, 
PM10 ,2020-01-05 04:00:00.000,29.0, ,112.0, ,70.32, ,,x,60.0, ,41.0, ,126.0, ,65.0, ,69.0, ,,s,65.0, ,15.0, ,190.0, ,, 
PM10 ,2020-01-05 05:00:00.000,30.0, ,126.0, ,67.69, ,,o,56.0, ,39.0, ,82.0, ,116.0, ,47.0, ,,s,29.0, ,19.0, ,124.0, ,, 
PM10 ,2020-01-05 06:00:00.000,49.0, ,85.0, ,55.41, ,,x,45.0, ,37.0, ,36.0, ,95.0, ,32.0, ,,s,25.0, ,23.0, ,76.0, ,, 
PM10 ,2020-01-05 07:00:00.000,46.0, ,63.0, ,54.46, ,63.0, ,55.0, ,38.0, ,45.0, ,67.0, ,46.0, ,,s,30.0, ,29.0, ,85.0, ,, 
PM10 ,2020-01-05 08:00:00.000,47.0, ,60.0, ,44.26, ,68.0, ,47.0, ,35.0, ,55.0, ,50.0, ,51.0, ,,s,41.0, ,26.0, ,54.0, ,, 
PM10 ,2020-01-05 09:00:00.000,67.0, ,85.0, ,38.67, ,74.0, ,45.0, ,37.0, ,63.0, ,65.0, ,46.0, ,,s,66.0, ,27.0, ,72.0, ,, 
PM10 ,2020-01-05 10:00:00.000,39.0, ,93.0, ,48.18, ,56.0, ,54.0, ,43.0, ,40.0, ,76.0, ,62.0, ,,s,101.0, ,32.0, ,66.0, ,, 
PM10 ,2020-01-05 11:00:00.000,43.0, ,101.0, ,55.56, ,53.0, ,61.0, ,54.0, ,75.0, ,43.0, ,15.0, ,,s,73.0, ,36.0, ,64.0, ,, 
PM10 ,2020-01-05 12:00:00.000,49.0, ,81.0, ,78.1, ,,x,40.0, ,44.0, ,76.0, ,44.0, ,62.0, ,,s,83.0, ,27.0, ,67.0, ,, 
PM10 ,2020-01-05 13:00:00.000,60.0, ,76.0, ,73.93, ,,x,21.0, ,27.0, ,60.0, ,29.0, ,51.0, ,,s,76.0, ,28.0, ,92.0, ,, 
PM10 ,2020-01-05 14:00:00.000,64.0, ,69.0, ,74.69, ,61.0, ,18.0, ,23.0, ,55.0, ,42.0, ,65.0, ,,s,53.0, ,31.0, ,52.0, ,, 
PM10 ,2020-01-05 15:00:00.000,49.0, ,57.0, ,59.45, ,60.0, ,40.0, ,36.0, ,41.0, ,63.0, ,43.0, ,,s,43.0, ,35.0, ,43.0, ,, 
PM10 ,2020-01-05 16:00:00.000,41.0, ,47.0, ,53.57, ,51.0, ,42.0, ,52.0, ,21.0, ,73.0, ,35.0, ,,s,37.0, ,24.0, ,42.0, ,, 
PM10 ,2020-01-05 17:00:00.000,43.0, ,44.0, ,52.61, ,51.0, ,40.0, ,72.0, ,29.0, ,48.0, ,37.0, ,,s,33.0, ,27.0, ,32.0, ,, 
PM10 ,2020-01-05 18:00:00.000,35.0, ,42.0, ,41.8, ,57.0, ,53.0, ,77.0, ,14.0, ,37.0, ,35.0, ,,s,41.0, ,27.0, ,22.0, ,, 
PM10 ,2020-01-05 19:00:00.000,40.0, ,49.0, ,41.53, ,72.0, ,62.0, ,80.0, ,22.0, ,38.0, ,34.0, ,,s,45.0, ,40.0, ,36.0, ,, 
PM10 ,2020-01-05 20:00:00.000,54.0, ,80.0, ,50.21, ,83.0, ,45.0, ,84.0, ,43.0, ,63.0, ,112.0, ,,s,68.0, ,34.0, ,39.0, ,, 
PM10 ,2020-01-05 21:00:00.000,55.0, ,126.0, ,52.25, ,155.0, ,134.0, ,137.0, ,41.0, ,87.0, ,135.0, ,,s,175.0, ,50.0, ,69.0, ,, 
PM10 ,2020-01-05 22:00:00.000,53.0, ,168.0, ,89.85, ,,x,141.0, ,146.0, ,31.0, ,82.0, ,177.0, ,,s,272.0, ,57.0, ,80.0, ,, 
PM10 ,2020-01-05 23:00:00.000,45.0, ,174.0, ,82.69, ,,x,117.0, ,119.0, ,28.0, ,59.0, ,173.0, ,,s,234.0, ,40.0, ,121.0, ,, 
PM10 ,2020-01-06 00:00:00.000,35.0, ,195.0, ,70.21, ,,x,113.0, ,139.0, ,45.0, ,75.0, ,228.0, ,,s,162.0, ,47.0, ,154.0, ,, 
PM10 ,2020-01-06 01:00:00.000,35.0, ,169.0, ,67.64, ,72.16, ,93.0, ,76.0, ,57.0, ,61.0, ,199.0, ,,s,67.0, ,17.0, ,145.0, ,, 
PM10 ,2020-01-06 02:00:00.000,25.0, ,125.0, ,69.16, ,70.1, ,69.0, ,52.0, ,60.0, ,66.0, ,90.0, ,,s,38.0, ,15.0, ,147.0, ,, 
PM10 ,2020-01-06 03:00:00.000,25.0, ,83.0, ,58.32, ,,x,61.0, ,44.0, ,42.0, ,80.0, ,57.0, ,,s,29.0, ,19.0, ,115.0, ,, 
PM10 ,2020-01-06 04:00:00.000,26.0, ,59.0, ,67.46, ,,x,63.0, ,39.0, ,42.0, ,98.0, ,52.0, ,,s,34.0, ,19.0, ,103.0, ,, 
PM10 ,2020-01-06 05:00:00.000,34.0, ,80.0, ,77.99, ,,x,57.0, ,40.0, ,54.0, ,92.0, ,58.0, ,,s,47.0, ,17.0, ,119.0, ,, 
PM10 ,2020-01-06 06:00:00.000,30.0, ,118.0, ,114.36, ,,x,74.0, ,36.0, ,25.0, ,100.0, ,71.0, ,,s,74.0, ,16.0, ,122.0, ,, 
PM10 ,2020-01-06 07:00:00.000,25.0, ,112.0, ,73.37, ,,x,88.0, ,36.0, ,28.0, ,81.0, ,98.0, ,,s,101.0, ,17.0, ,90.0, ,, 
PM10 ,2020-01-06 08:00:00.000,28.0, ,117.0, ,75.94, ,,x,95.0, ,33.0, ,70.0, ,128.0, ,63.0, ,,s,145.0, ,16.0, ,104.0, ,, 
PM10 ,2020-01-06 09:00:00.000,31.0, ,153.0, ,76.34, ,,x,133.0, ,33.0, ,71.0, ,208.0, ,95.0, ,,s,149.0, ,19.0, ,97.0, ,, 
PM10 ,2020-01-06 10:00:00.000,35.0, ,182.0, ,85.02, ,,x,184.0, ,47.0, ,129.0, ,163.0, ,123.0, ,,s,145.0, ,21.0, ,131.0, ,, 
PM10 ,2020-01-06 11:00:00.000,52.0, ,208.0, ,69.0, ,,x,92.0, ,51.0, ,118.0, ,133.0, ,92.0, ,,s,131.0, ,36.0, ,133.0, ,, 
PM10 ,2020-01-06 12:00:00.000,73.0, ,188.0, ,73.85, ,,x,53.0, ,44.0, ,151.0, ,156.0, ,64.0, ,28.0, ,89.0, ,57.0, ,96.0, ,, 
PM10 ,2020-01-06 13:00:00.000,,o,130.0, ,139.76, ,,x,34.0, ,40.0, ,108.0, ,167.0, ,70.0, ,18.0, ,90.0, ,45.0, ,114.0, ,, 
PM10 ,2020-01-06 14:00:00.000,,o,100.0, ,211.72, ,100.45, ,22.0, ,21.0, ,126.0, ,91.0, ,44.0, ,33.0, ,60.0, ,50.0, ,121.0, ,, 
PM10 ,2020-01-06 15:00:00.000,,o,83.0, ,164.11, ,88.0, ,42.0, ,22.0, ,115.0, ,59.0, ,41.0, ,65.0, ,48.0, ,71.0, ,84.0, ,, 
PM10 ,2020-01-06 16:00:00.000,,o,90.0, ,128.23, ,86.3, ,92.0, ,69.0, ,84.0, ,63.0, ,37.0, ,132.0, ,53.0, ,79.0, ,82.0, ,, 
PM10 ,2020-01-06 17:00:00.000,,o,86.0, ,101.21, ,82.11, ,116.0, ,108.0, ,80.0, ,72.0, ,39.0, ,117.0, ,47.0, ,73.0, ,84.0, ,, 
PM10 ,2020-01-06 18:00:00.000,,o,73.0, ,80.93, ,77.71, ,201.0, ,105.0, ,60.0, ,89.0, ,41.0, ,114.0, ,56.0, ,54.0, ,60.0, ,, 
